ProductRefId,Name,Description,Value,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
P000007188,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000207797,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000208416,Color,Color,BEIGE,0,false,false,false,false,false,true,false,
P000039567,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000150704,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000208645,Color,Color,CORAL,0,false,false,false,false,false,true,false,
P000210513,Color,Color,ORANGE,0,false,false,false,false,false,true,false,
P000160927,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000210585,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000210586,Color,Color,DASH GREEN,0,false,false,false,false,false,true,false,
P000170879,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000212437,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000193522,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000212884,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000212895,Color,Color,ORANGE,0,false,false,false,false,false,true,false,
P000213388,Color,Color,PINK,0,false,false,false,false,false,true,false,
P000201193,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000213389,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000205306,Color,Color,RED,0,false,false,false,false,false,true,false,
P000213391,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000214022,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000205309,Color,Color,BEIGE,0,false,false,false,false,false,true,false,
P000215172,Color,Color,TAN,0,false,false,false,false,false,true,false,
P000215177,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000205310,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000205318,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000219950,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000205321,Color,Color,ECRU,0,false,false,false,false,false,true,false,
P000205723,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000205726,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206870,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206871,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206882,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206886,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206888,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000206889,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000208500,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000208502,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000208504,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000208505,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209009,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209011,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209013,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209014,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209016,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000219959,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000219998,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000220054,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000209017,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000220406,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000209019,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209025,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000220407,Color,Color,VIOLET,0,false,false,false,false,false,true,false,
P000220410,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000209030,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000209035,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000220412,Color,Color,RED,0,false,false,false,false,false,true,false,
P000209036,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000220413,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000220419,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000220554,Color,Color,TURQUOISE,0,false,false,false,false,false,true,false,
P000220562,Color,Color,YELLOW,0,false,false,false,false,false,true,false,
P000210538,Color,Color,TAN,0,false,false,false,false,false,true,false,
P000210540,Color,Color,RED,0,false,false,false,false,false,true,false,
P000220685,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000220694,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000220697,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000210547,Color,Color,BEIGE,0,false,false,false,false,false,true,false,
P000210548,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000210550,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000210563,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000220734,Color,Color,RED,0,false,false,false,false,false,true,false,
P000220756,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000210587,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000210588,Color,Color,JEANS,0,false,false,false,false,false,true,false,
P000212994,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000220759,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000220811,Color,Color,ORANGE,0,false,false,false,false,false,true,false,
P000213098,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000220889,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000221027,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000221030,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000213100,Color,Color,MAUVE,0,false,false,false,false,false,true,false,
P000221036,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000213102,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000221045,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000213687,Color,Color,KHAKI,0,false,false,false,false,false,true,false,
P000221098,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000221063,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000213692,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000213706,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000221122,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000214876,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000221125,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000221144,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000214877,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000214878,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000221276,Color,Color,RED,0,false,false,false,false,false,true,false,
P000221278,Color,Color,BLUE,0,false,false,false,false,false,true,false,
P000214879,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000222473,Color,Color,NAVY,0,false,false,false,false,false,true,false,
P000214880,Color,Color,BEIGE,0,false,false,false,false,false,true,false,
P000222474,Color,Color,GRAY,0,false,false,false,false,false,true,false,
P000214881,Color,Color,UNIQUE,0,false,false,false,false,false,true,false,
P000214882,Color,Color,BLACK,0,false,false,false,false,false,true,false,
P000222475,Color,Color,ALL BLACK,0,false,false,false,false,false,true,false,
P000222478,Color,Color,WHITE,0,false,false,false,false,false,true,false,
P000215398,Color,Color,GREEN,0,false,false,false,false,false,true,false,
P000222548,Color,Color,RED,0,false,false,false,false,false,true,false,