skuId,refId,markup,listPrice,basePrice,costPrice
,94124836,,190,190,190
,95397041,,190,190,190
,96213270,,190,190,190
,81683779,,190,190,190
,94125192,,190,190,190
,96213294,,190,190,190
,95938467,,190,190,190
,80579505,,190,190,190
,94339934,,190,190,190
,94884155,,190,190,190
,96172908,,190,190,190
,96601179,,190,190,190
,56361110,,190,190,190
,95936227,,190,190,190
,95591410,,190,190,190
,95938416,,190,190,190
,94114344,,190,190,190
,96049334,,190,190,190
,96405104,,190,190,190
,95946245,,190,190,190
,93952419,,190,190,190
,88802189,,190,190,190
,91271077,,190,190,190
,94426561,,190,190,190
,95754979,,190,190,190
,95938674,,190,190,190
,94956945,,190,190,190
,91271256,,190,190,190
,81688992,,190,190,190
,96410415,,190,190,190
,94260876,,190,190,190
,94190660,,190,190,190
,93390025,,190,190,190
,94394812,,190,190,190
,91270569,,190,190,190
,95877707,,190,190,190
,95666481,,190,190,190
,96784201,,190,190,190
,95767901,,190,190,190
,94338311,,150,150,150
,94338292,,150,150,150
,96062253,,150,150,150
,96471963,,150,150,150
,95933805,,150,150,150
,93389458,,150,150,150
,95930957,,150,150,150
,94476360,,150,150,150
,69851531,,150,150,150
,93058573,,150,150,150
,87134449,,150,150,150
,92830134,,150,150,150
,80999819,,150,150,150
,91270942,,120,120,120
,94260888,,120,120,120
,95397080,,120,120,120
,96031135,,120,120,120
,95938213,,120,120,120
,94124921,,120,120,120
,93096725,,120,120,120
,85087073,,120,120,120
,92023284,,120,120,120
,95939154,,120,120,120
,32448426,,120,120,120
,94124849,,120,120,120
,87140613,,120,120,120
,94957822,,120,120,120
,92022709,,120,120,120
,97188521,,120,120,120
,96475848,,120,120,120
,96062214,,120,120,120
,56361231,,120,120,120
,95989308,,120,120,120
,95606750,,120,120,120
,94338280,,120,120,120
,94394658,,120,120,120
,95264064,,120,120,120
,95954549,,120,120,120
,93389421,,120,120,120
,96213282,,120,120,120
,94245730,,120,120,120
,92911694,,120,120,120
,96213228,,120,120,120
,56361134,,120,120,120
,95738790,,120,120,120
,92384115,,120,120,120
,87134136,,120,120,120
,93058585,,120,120,120
,96017187,,120,120,120
,96049277,,120,120,120
,96062292,,120,120,120
,66733173,,120,120,120
,81684071,,100,100,100
,95067683,,100,100,100
,94339610,,100,100,100
,87140570,,100,100,100
,95005232,,100,100,100
,92912339,,100,100,100
,96492092,,100,100,100
,85087103,,100,100,100
,93423241,,100,100,100
,80999943,,100,100,100
,94339634,,100,100,100
,94134501,,100,100,100
,94492931,,100,100,100
,95369233,,100,100,100
,96405129,,100,100,100
,93501475,,100,100,100
,54483832,,100,100,100
,93609692,,100,100,100
,96037658,,100,100,100
,92829758,,100,100,100
,91271013,,100,100,100
,93951231,,100,100,100
,95325814,,100,100,100
,95938398,,100,100,100
,95859400,,100,100,100
,69851914,,100,100,100
,94608268,,100,100,100
,96234260,,100,100,100
,96062541,,100,100,100
,95264231,,100,100,100
,95931070,,100,100,100
,96234273,,100,100,100
,95989362,,100,100,100
,93504087,,100,100,100
,94685943,,100,100,100
,93501487,,100,100,100
,94394633,,100,100,100
,32448480,,100,100,100
,94947520,,100,100,100
,95369546,,75,75,75
,92912269,,75,75,75
,94114617,,75,75,75
,95938540,,75,75,75
,87140528,,75,75,75
,93952377,,75,75,75
,95325865,,75,75,75
,96492150,,75,75,75
,94047338,,75,75,75
,96409740,,75,75,75
,94978350,,75,75,75
,90766589,,75,75,75
,91270602,,75,75,75
,94394290,,200,200,200
,95597850,,200,200,200
,95859437,,200,200,200
,96405171,,200,200,200
,96213377,,200,200,200
,93501448,,200,200,200
,95668995,,200,200,200
,95994765,,200,200,200
,96017302,,200,200,200
,94958833,,200,200,200
,94911052,,200,200,200
,94668996,,200,200,200
,87134846,,200,200,200
,93389937,,200,200,200
,96068499,,200,200,200
,95689265,,200,200,200
,80999846,,200,200,200
,93060124,,200,200,200
,94260793,,200,200,200
,81689024,,200,200,200
,96287257,,200,200,200
,87133016,,200,200,200
,96062238,,200,200,200
,95397532,,200,200,200
,85087277,,200,200,200
,93502422,,200,200,200
,94295650,,26,26,26
,87538454,,26,26,26
,94223725,,26,26,26
,96031218,,26,26,26
,94394702,,26,26,26
,89796749,,26,26,26
,94125095,,26,26,26
,94508656,,26,26,26
,94578980,,26,26,26
,96540088,,26,26,26
,95933775,,26,26,26
,94237001,,26,26,26
,96475850,,26,26,26
,96234343,,26,26,26
,95067777,,26,26,26
,95641213,,26,26,26
,95931477,,26,26,26
,81683536,,26,26,26
,80331767,,26,26,26
,81689036,,26,26,26
,96212953,,26,26,26
,95325662,,26,26,26
,95669002,,26,26,26
,95930887,,26,26,26
,93386002,,26,26,26
,93389582,,26,26,26
,96068505,,26,26,26
,87970474,,26,26,26
,95376363,,26,26,26
,95072065,,26,26,26
,93501596,,26,26,26
,96213009,,26,26,26
,96784292,,26,26,26
,93503133,,26,26,26
,95933602,,26,26,26
,95694741,,26,26,26
,92023218,,26,26,26
,94476179,,26,26,26
,93389516,,26,26,26
,93389964,,26,26,26
,96481040,,26,26,26
,96341096,,26,26,26
,92023393,,26,26,26
,93502568,,26,26,26
,87134885,,26,26,26
,95765297,,26,26,26
,95954715,,26,26,26
,95606748,,26,26,26
,95736669,,26,26,26
,69851901,,26,26,26
,95397354,,26,26,26
,81688486,,26,26,26
,56361161,,160,160,160
,95591256,,160,160,160
,95376963,,160,160,160
,94956835,,160,160,160
,96017078,,160,160,160
,94338580,,160,160,160
,95369246,,160,160,160
,96213473,,160,160,160
,95931016,,160,160,160
,95870526,,160,160,160
,80715875,,160,160,160
,94476045,,160,160,160
,92407300,,160,160,160
,95694726,,160,160,160
,94685860,,160,160,160
,93389913,,160,160,160
,92022724,,160,160,160
,96068393,,160,160,160
,95759170,,160,160,160
,94134311,,160,160,160
,94476018,,160,160,160
,96028343,,160,160,160
,94338880,,160,160,160
,49165007,,160,160,160
,95191917,,160,160,160
,96068366,,160,160,160
,95701109,,160,160,160
,95131160,,160,160,160
,91270681,,160,160,160
,87133140,,160,160,160
,94426598,,160,160,160
,96213173,,160,160,160
,88516355,,160,160,160
,93501639,,160,160,160
,95005092,,160,160,160
,94476057,,160,160,160
,95930899,,160,160,160
,94338362,,160,160,160
,94573427,,160,160,160
,86247856,,175,175,175
,94394321,,175,175,175
,94339674,,175,175,175
,94338911,,175,175,175
,94047025,,175,175,175
,92022616,,125,125,125
,94573549,,125,125,125
,87970568,,125,125,125
,96364182,,125,125,125
,94476115,,125,125,125
,80579532,,80,56,56
,94245703,,80,56,56
,96068379,,80,56,56
,90050437,,80,56,56
,94491275,,80,56,56
,95809065,,35,21,21
,94849027,,35,21,21
,95584427,,35,21,21
,93060136,,35,21,21
,91270596,,35,21,21
,54483845,,35,21,21
,95930984,,35,21,21
,80999788,,35,21,21
,95946108,,35,21,21
,96373338,,35,21,21
,96310594,,35,21,21
,80715905,,35,21,21
,96065192,,35,21,21
,80579642,,35,21,21
,96213460,,35,21,21
,96144105,,35,21,21
,95358123,,35,21,21
,39045030,,35,21,21
,95131228,,69.95,54.99,54.99
,95754942,,69.95,54.99,54.99
,95376196,,69.95,54.99,54.99
,92023257,,69.95,54.99,54.99
,94476415,,69.95,54.99,54.99
,94047341,,69.95,54.99,54.99
,94491235,,69.95,54.99,54.99
,96284918,,69.95,54.99,54.99
,96784278,,69.95,54.99,54.99
,95989292,,69.95,54.99,54.99
,96364213,,69.95,54.99,54.99
,93389773,,69.95,54.99,54.99
,94426683,,69.95,54.99,54.99
,92023038,,69.95,54.99,54.99
,96522449,,69.95,54.99,54.99
,81683524,,69.95,54.99,54.99
,91270520,,69.95,54.99,54.99
,96027898,,54.50,44.99,44.99
,95666454,,54.50,44.99,44.99
,91270499,,54.50,44.99,44.99
,94338404,,54.50,44.99,44.99
,91693325,,54.50,44.99,44.99
,95192149,,54.50,44.99,44.99
,91270532,,79.50,79.50,79.50
,93060260,,79.50,79.50,79.50
,95280937,,79.50,79.50,79.50
,81688941,,79.50,79.50,79.50
,81683851,,79.50,79.50,79.50
,94957752,,79.50,79.50,79.50
,96234297,,79.50,47.70,47.70
,94049118,,79.50,47.70,47.70
,95738724,,79.50,47.70,47.70
,95701712,,79.50,47.70,47.70
,95702053,,79.50,47.70,47.70
,81688217,,79.50,47.70,47.70
,91692217,,79.50,47.70,47.70
,96069283,,79.50,47.70,47.70
,96212980,,79.50,47.70,47.70
,94340242,,79.50,47.70,47.70
,95352565,,79.50,47.70,47.70
,93504023,,79.50,47.70,47.70
,95393876,,139,34.99,34.99
,95225868,,34.99,62.99,62.99
,56361256,,34.99,62.99,62.99
,95362216,,34.99,62.99,62.99
,96341166,,34.99,62.99,62.99
,95362894,,34.99,62.99,62.99
,95933723,,34.99,62.99,62.99
,81688147,,398,398,398
,56361122,,398,398,398
,81688110,,398,398,398
,92023339,,398,398,398
,81000008,,398,398,398
,91270462,,398,398,398
,85087289,,398,398,398
,95859440,,175,175,175
,94049769,,175,175,175
,97186972,,175,175,175
,94134292,,175,175,175
,95841977,,175,175,175
,96471881,,75,75,75
,96481110,,75,75,75
,93504062,,75,75,75
,95938537,,75,75,75
,94427002,,75,75,75
,90052080,,75,75,75
,93060233,,75,75,75
,95765151,,75,75,75
,87133113,,75,75,75
,94134362,,120,120,120
,96017080,,120,120,120
,92023123,,120,120,120
,96481186,,120,120,120
,96410360,,120,120,120
,81683876,,89.50,89.50,89.50
,92911724,,89.50,89.50,89.50
,94113957,,89.50,89.50,89.50
,96062129,,89.50,89.50,89.50
,95842309,,89.50,89.50,89.50
,96172783,,89.50,89.50,89.50
,93503243,,89.50,89.50,89.50
,94223629,,89.50,89.50,89.50
,88254713,,89.50,89.50,89.50
,95765163,,89.50,89.50,89.50
,94295717,,89.50,89.50,89.50
,92022806,,40,40,40
,95761634,,40,40,40
,95938686,,40,40,40
,94573385,,40,40,40
,95939069,,40,40,40
,91693419,,125,125,125
,39045028,,125,125,125
,94373109,,125,125,125
,94049705,,125,125,125
,94237026,,125,125,125
,96481159,,59.95,59.95,59.95
,91271052,,59.95,59.95,59.95
,94338253,,59.95,59.95,59.95
,93951341,,59.95,59.95,59.95
,96028355,,59.95,59.95,59.95
,94245494,,59.95,59.95,59.95
,96078332,,59.95,59.95,59.95
,94245416,,59.95,59.95,59.95
,94898223,,59.95,59.95,59.95
,95681836,,59.95,59.95,59.95
,95738751,,59.95,59.95,59.95
,92022788,,44.95,44.95,44.95
,95352611,,44.95,44.95,44.95
,97186969,,44.95,44.95,44.95
,95325801,,44.95,44.95,44.95
,94907315,,44.95,44.95,44.95
,93952446,,44.95,44.95,44.95
,96410427,,44.95,44.95,44.95
,95702078,,44.95,44.95,44.95
,94200857,,44.95,44.95,44.95
,94573397,,44.95,44.95,44.95
,96601154,,44.95,44.95,44.95
,94685916,,65.00,65.00,65.00
,96172962,,65.00,65.00,65.00
,95591244,,65.00,65.00,65.00
,80715726,,65.00,65.00,65.00
,96481498,,65.00,65.00,65.00
,95994778,,65.00,65.00,65.00
,93423323,,65.00,65.00,65.00
,93501642,,65.00,65.00,65.00
,94340184,,65.00,65.00,65.00
,94339659,,65.00,65.00,65.00
,94245361,,65.00,65.00,65.00
,95938116,,69.95,55.00,55.00
,96213313,,69.95,55.00,55.00
,94491248,,69.95,55.00,55.00
,95702038,,69.95,55.00,55.00
,93389600,,69.95,55.00,55.00
,96166122,,69.95,55.00,55.00
,94200927,,69.95,55.00,55.00
,95701303,,265,265,265
,87134928,,265,265,265
,92829746,,265,265,265
,95597835,,265,265,265
,95491598,,265,265,265
,97082078,,283,283,283
,96233886,,283,283,283
,96233929,,283,283,283
,81688459,,283,283,283
,96030079,,283,283,283
,80715792,,175,175,175
,94245743,,175,175,175
,95765246,,175,175,175
,95352483,,175,175,175
,94685970,,175,175,175
,93503230,,175,175,175
,95939057,,175,175,175
,96062704,,175,175,175
,96405144,,72,65,65
,94125275,,72,65,65
,95938455,,72,65,65
,96213243,,72,65,65
,94047064,,72,65,65
,95191683,,72,65,65
,96031205,,52,32,32
,95325768,,52,32,32
,94426968,,52,32,32
,94190621,,52,32,32
,92023150,,52,32,32
,94928115,,49.50,29.98,29.98
,85087097,,49.50,29.98,29.98
,97186887,,49.50,29.98,29.98
,94260781,,49.50,29.98,29.98
,96031111,,79.95,59.99,59.99
,94049279,,79.95,59.99,59.99
,97188670,,79.95,59.99,59.99
,92023342,,79.95,59.99,59.99
,96028694,,79.95,59.99,59.99
,95842324,,79.95,59.99,59.99
,95954551,,59.99,59.99,59.99
,81688186,,59.99,59.99,59.99
,96373326,,59.99,59.99,59.99
,94340132,,59.99,59.99,59.99
,87134506,,59.99,59.99,59.99
,96068954,,59.99,59.99,59.99
,96027917,,59.99,59.99,59.99
,92022994,,175,175,175
,95325592,,175,175,175
,95989171,,175,175,175
,91384225,,89,89,89
,96284920,,89,89,89
,81683397,,89,89,89
,90766540,,89,89,89
,94911895,,89,89,89
,84486321,,89,89,89
,94113899,,39,39,39
,96017366,,39,39,39
,94907557,,39,39,39
,94047174,,39,39,39
,96471720,,39,39,39
,95701916,,39,39,39
,96475587,,39,39,39
,96475918,,39,39,39
,94906967,,39,39,39
,95597138,,39,39,39
,94476479,,39,39,39
,95264244,,39,39,39
,93423280,,39,39,39
,94124766,,39,39,39
,95191507,,39,39,39
,95938730,,39,39,39
,96234316,,39,39,39
,95280340,,39,39,39
,95989183,,39,39,39
,95191164,,39,39,39
,95936215,,39,39,39
,94049099,,39,39,39
,95933818,,39,39,39
,96364155,,39,39,39
,96382395,,39,39,39
,96475575,,39,39,39
,94394727,,39,39,39
,96491943,,39,39,39
,94052404,,39,39,39
,87134258,,39,39,39
,80579639,,39,39,39
,93504336,,39,39,39
,81689049,,39,39,39
,94978323,,39,39,39
,92911616,,39,39,39
,92912296,,39,39,39
,91270832,,39,39,39
,94223789,,39,39,39
,96405117,,39,39,39
,94849015,,39,39,39
,81688844,,39,39,39
,81688817,,39,39,39
,80999751,,70,70,70
,86247774,,70,70,70
,92911712,,70,70,70
,97188655,,70,70,70
,96481052,,70,70,70
,95996463,,70,70,70
,95606711,,200,200,200
,94476142,,200,200,200
,96062538,,200,200,200
